tool,id,extension,scored,reason,textRecall,orderRecall,sectionRecall,tableRecallProxy,clean,qualityScore
into-0.0.4-off,741dc80e165feffa,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,7d1443b24765e816,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,80f0df60519db6df,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,8496eae7f5d35cbf,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,932b5725d10d48a3,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,d5777b9f6b5dcbb8,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,ed690bb1d117edc9,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,f349fbadac822bda,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,00a425e1388eedf6,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,05ae018e2247dea5,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,1c48a1f1a1a671e9,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,28cfda629c3574be,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,3152fb9e26b94268,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,3d2f709665bbf807,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,7cad0480ae2ab33a,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,8134d41e0ee86742,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,8f5b5661cc4621bf,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,8fa6e7b8dbb02c92,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,a396c39e9c9c6dfd,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,af858ed3ddb834f0,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,b00e14c835b4f870,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,b8eb8499a62b69cc,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,bdc3d54e756943ff,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,c431633ab34323ac,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,1dd77cd0a6539b6c,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,23260c410624547b,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,2f86f62021b22787,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,314f9b7739c160be,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,347a595b7ccfd24b,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,5155a2eac724ee27,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,570579768a1e3c64,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,74d7e2afbd0786a9,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,78c76c93f5477eea,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,95266bbdf77a6d0f,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,9c7dec9100236b11,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,9f92d018ca9660fc,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,b7f8f23213e8e1a9,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,cd9c91b75f8c7a5d,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,e0fac017b649d055,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,f998b5f0bd3b9a32,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,15bdf1e94e27830d,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,197374f95cc514ea,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,3b6a8baea86ce84e,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,5f22c4b6ba3209ef,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,6c1f684d03537e5c,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,a87e69c9cfd10f83,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,a9566a1b17c6f9bb,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,b1e3a3a0cdd2ff7a,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,b39c3a06bd192c85,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,b805dd170151083c,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,e5deef4545cead6a,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,f95c7f5701825eca,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,61b3d3879fbd140e,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,1f22a5b57ae84c6e,docm,False,no-independent-text-reference,,,,,,
into-0.0.4-off,220f6c0ffdfb2b17,docm,False,no-independent-text-reference,,,,,,
into-0.0.4-off,777a16234decc263,docm,False,no-independent-text-reference,,,,,,
into-0.0.4-off,85f8db51f8d5b21f,docm,False,no-independent-text-reference,,,,,,
into-0.0.4-off,e5bcebdbf1b0262a,docm,False,no-independent-text-reference,,,,,,
into-0.0.4-off,01942744ccb813cb,docx,True,,1.0,1.0,1,1,1,100.0
into-0.0.4-off,22eceb1737a7d2d8,docx,True,,1.0,1.0,1,1,1,100.0
into-0.0.4-off,39161ed47e349050,docx,False,no-independent-text-reference,,,,,,
into-0.0.4-off,39e85fd35207a7e6,docx,True,,1.0,1.0,1,1,1,100.0
into-0.0.4-off,45f6c22259dc2a20,docx,True,,1.0,1.0,1,1,1,100.0
into-0.0.4-off,5a05d2859732efa3,docx,True,,1.0,1.0,1,1,1,100.0
into-0.0.4-off,708be1511437ad2f,docx,True,,0.4225352112676056,0.4701492537313433,1,1,1,57.64242169434518
into-0.0.4-off,8444142f85fed480,docx,True,,1.0,1.0,1,1,1,100.0
into-0.0.4-off,8639fc2fcbb00e92,docx,False,no-independent-text-reference,,,,,,
into-0.0.4-off,8d6b03df384790f0,docx,True,,1.0,1.0,1,1,1,100.0
into-0.0.4-off,92f5fd36ade1845c,docx,False,no-independent-text-reference,,,,,,
into-0.0.4-off,9f95f12deee61315,docx,True,,1.0,1.0,1,1,1,100.0
into-0.0.4-off,b1dfce096423c719,docx,False,no-independent-text-reference,,,,,,
into-0.0.4-off,c52aeaec4c95d69e,docx,True,,1.0,1.0,1,1,1,100.0
into-0.0.4-off,d3117906d3b42fe3,docx,True,,1.0,1.0,1,1,1,100.0
into-0.0.4-off,e5a58f9aefc838e9,docx,False,no-independent-text-reference,,,,,,
into-0.0.4-off,0500c07c74559530,docx,True,,1.0,1.0,1,1,1,100.0
into-0.0.4-off,10642bfe391da738,docx,False,no-independent-text-reference,,,,,,
into-0.0.4-off,1580d0160d1dac30,docx,True,,1.0,1.0,1,1,1,100.0
into-0.0.4-off,39f59c67c966b65f,docx,True,,1.0,1.0,1,1,1,100.0
into-0.0.4-off,3cdf5f5b404e9c8d,docx,False,no-independent-text-reference,,,,,,
into-0.0.4-off,6b4a287ddb9ca2cd,docx,False,no-independent-text-reference,,,,,,
into-0.0.4-off,6fe54010afc2e70c,docx,True,,0.9971751412429378,1.0,1,1,1,99.84463276836159
into-0.0.4-off,711d9ea3e2585a98,docx,False,no-independent-text-reference,,,,,,
into-0.0.4-off,9abb3e5709ab4dce,docx,False,no-independent-text-reference,,,,,,
into-0.0.4-off,a87fadcea0c4be3b,docx,False,no-independent-text-reference,,,,,,
into-0.0.4-off,af6c22cd414e4415,docx,True,,1,1,1,1,1,100.0
into-0.0.4-off,afeaed5721fde92d,docx,True,,1.0,1.0,1,1,1,100.0
into-0.0.4-off,c7b1787c3d63a637,docx,True,,1.0,1.0,1,1,1,100.0
into-0.0.4-off,db1511c342fbf0d1,docx,True,,1.0,1.0,1,1,1,100.0
into-0.0.4-off,e2614b8257904bc2,docx,True,,1.0,1.0,1,1,1,100.0
into-0.0.4-off,f3058af25503e852,docx,True,,1.0,1.0,1,1,1,100.0
into-0.0.4-off,1115d63a4d699756,docx,False,no-independent-text-reference,,,,,,
into-0.0.4-off,1d5d0412983db971,docx,False,no-independent-text-reference,,,,,,
into-0.0.4-off,2562eb374680636c,docx,True,,1.0,1.0,1,1,1,100.0
into-0.0.4-off,300d1e1458215174,docx,True,,1.0,1.0,1,1,1,100.0
into-0.0.4-off,438e0dc936d5c93e,docx,False,no-independent-text-reference,,,,,,
into-0.0.4-off,63c59ad6d2c0837e,docx,False,no-independent-text-reference,,,,,,
into-0.0.4-off,72f11398e9a454a8,docx,True,,1.0,1.0,1,1,1,100.0
into-0.0.4-off,89b6e1d2f44966a6,docx,False,no-independent-text-reference,,,,,,
into-0.0.4-off,926b4b7308d1074b,docx,False,no-independent-text-reference,,,,,,
into-0.0.4-off,a340fd10f6c56c8e,docx,True,,1.0,1.0,1,1,1,100.0
into-0.0.4-off,ba769e058bf04e89,docx,True,,1.0,1.0,1,1,1,100.0
into-0.0.4-off,c78e46ceb350503b,docx,False,no-independent-text-reference,,,,,,
into-0.0.4-off,ce7527240bf036c0,docx,True,,1.0,1.0,1,1,1,100.0
into-0.0.4-off,cffe898858748cbf,docx,True,,1.0,1.0,1,1,1,100.0
into-0.0.4-off,f913f0f9564319d9,docx,True,,1.0,1.0,1,1,1,100.0
into-0.0.4-off,fa70fa3b9b6481b8,docx,True,,1.0,1.0,1,1,1,100.0
into-0.0.4-off,0a6c70f58ea4a7f0,docx,True,,1.0,1.0,1,1,1,100.0
into-0.0.4-off,0ca3478707d976bf,docx,True,,1.0,1.0,1,1,1,100.0
into-0.0.4-off,700e9a729d889195,docx,True,,1.0,1.0,1,1,1,100.0
into-0.0.4-off,7df5036cc2fb4200,docx,True,,1.0,1.0,1,1,1,100.0
into-0.0.4-off,81d3522abe8e0565,docx,True,,0.9090909090909091,1.0,1,1,1,95.0
into-0.0.4-off,a0561ac347ce072b,docx,True,,1.0,1.0,1,1,1,100.0
into-0.0.4-off,a0626b8cdee6cbcb,docx,True,,1.0,1.0,1,1,1,100.0
into-0.0.4-off,a542df98568c9574,docx,True,,1.0,1.0,1,1,1,100.0
into-0.0.4-off,abc87703f7647c91,docx,False,no-independent-text-reference,,,,,,
into-0.0.4-off,ae1f451c1285f624,docx,True,,1.0,1.0,1,1,1,100.0
into-0.0.4-off,b5cfd37bee15e87d,docx,True,,1.0,1.0,1,1,1,100.0
into-0.0.4-off,b6ac8bb4444b8bea,docx,True,,1.0,1.0,1,1,1,100.0
into-0.0.4-off,ba9e020279f446e9,docx,False,no-independent-text-reference,,,,,,
into-0.0.4-off,e1d418c06061b75e,docx,False,no-independent-text-reference,,,,,,
into-0.0.4-off,e640b973e4f5a441,docx,True,,1.0,1.0,1,1,1,100.0
into-0.0.4-off,f4a04cf352165863,docx,True,,1.0,1.0,1,1,1,100.0
into-0.0.4-off,08aac385f71220c5,docx,False,no-independent-text-reference,,,,,,
into-0.0.4-off,1f12c982a114fba5,docx,True,,1.0,1.0,1,1,1,100.0
into-0.0.4-off,2f861cc004f7c438,docx,True,,1.0,1.0,1,1,1,100.0
into-0.0.4-off,6312a81f235f6575,docx,True,,1.0,1.0,1,1,1,100.0
into-0.0.4-off,64d54ac9b139c590,docx,True,,1.0,1.0,1,1,1,100.0
into-0.0.4-off,7770be2741a16418,docx,True,,1.0,1.0,1,1,1,100.0
into-0.0.4-off,7a2aa49f690ab05e,docx,True,,1.0,1.0,1,1,1,100.0
into-0.0.4-off,8721cb0bbf67a756,docx,True,,1.0,1.0,1,1,1,100.0
into-0.0.4-off,aaab43e712195cfc,docx,True,,1.0,1.0,1,1,1,100.0
into-0.0.4-off,aef4465ef8fbc749,docx,True,,1.0,1.0,1,1,1,100.0
into-0.0.4-off,c685a32e6cf6548c,docx,False,no-independent-text-reference,,,,,,
into-0.0.4-off,df54447706b63dcf,docx,False,no-independent-text-reference,,,,,,
into-0.0.4-off,e83e9b5976e974ca,docx,True,,1.0,1.0,1,1,1,100.0
into-0.0.4-off,f23e0571a86ac0cf,docx,False,no-independent-text-reference,,,,,,
into-0.0.4-off,f74ad084c590f906,docx,True,,1.0,1.0,1,1,1,100.0
